phase,backbone,dataset,config_id,gen_cmd,eval_concept,output_dir
safree,sd14,mja_disturbing,safree,cd /mnt/home3/yhgil99/unlearning && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 SAFREE/generate_safree.py --data /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_disturbing.txt --save-dir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/safree_sd14/mja_disturbing --category disturbing --safree --svf --device cuda:0,disturbing,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/safree_sd14/mja_disturbing
ours,sd14,mja_sexual,cas0.6_ss1.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_sexual.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss1.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 1.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss1.0_thr0.1_hybrid_both
ours,sd14,mja_sexual,cas0.6_ss2.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_sexual.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss2.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss2.0_thr0.1_hybrid_both
ours,sd14,mja_sexual,cas0.6_ss3.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_sexual.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss3.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 3.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_sexual/cas0.6_ss3.0_thr0.1_hybrid_both
ours,sd14,mja_violent,cas0.6_ss1.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_violent.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss1.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 1.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/violent/clip_grouped.pt,violence,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss1.0_thr0.1_hybrid_both
ours,sd14,mja_violent,cas0.6_ss2.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_violent.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss2.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/violent/clip_grouped.pt,violence,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss2.0_thr0.1_hybrid_both
ours,sd14,mja_violent,cas0.6_ss3.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_violent.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss3.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 3.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/violent/clip_grouped.pt,violence,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_violent/cas0.6_ss3.0_thr0.1_hybrid_both
ours,sd14,mja_disturbing,cas0.6_ss1.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_disturbing.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss1.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 1.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/disturbing/clip_grouped.pt,disturbing,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss1.0_thr0.1_hybrid_both
ours,sd14,mja_disturbing,cas0.6_ss2.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_disturbing.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss2.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/disturbing/clip_grouped.pt,disturbing,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss2.0_thr0.1_hybrid_both
ours,sd14,mja_disturbing,cas0.6_ss3.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_disturbing.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss3.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 3.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/disturbing/clip_grouped.pt,disturbing,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_disturbing/cas0.6_ss3.0_thr0.1_hybrid_both
ours,sd14,mja_illegal,cas0.6_ss1.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_illegal.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss1.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 1.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/illegal/clip_grouped.pt,illegal,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss1.0_thr0.1_hybrid_both
ours,sd14,mja_illegal,cas0.6_ss2.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_illegal.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss2.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/illegal/clip_grouped.pt,illegal,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss2.0_thr0.1_hybrid_both
ours,sd14,mja_illegal,cas0.6_ss3.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_illegal.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss3.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 3.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/illegal/clip_grouped.pt,illegal,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/mja_illegal/cas0.6_ss3.0_thr0.1_hybrid_both
ours,sd14,rab,cas0.6_ss0.5_thr0.2_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/nudity-ring-a-bell.csv --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss0.5_thr0.2_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 0.5 --attn_threshold 0.2 --img_attn_threshold 0.2 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss0.5_thr0.2_hybrid_both
ours,sd14,rab,cas0.6_ss1.5_thr0.05_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/nudity-ring-a-bell.csv --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss1.5_thr0.05_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 1.5 --attn_threshold 0.05 --img_attn_threshold 0.05 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss1.5_thr0.05_hybrid_both
ours,sd14,rab,cas0.6_ss2.0_thr0.1_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/nudity-ring-a-bell.csv --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss2.0_thr0.1_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.0 --attn_threshold 0.1 --img_attn_threshold 0.1 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss2.0_thr0.1_hybrid_both
ours,sd14,rab,cas0.6_ss2.5_thr0.2_hybrid_both,cd /mnt/home3/yhgil99/unlearning/SafeGen && CUDA_VISIBLE_DEVICES=7 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 -m safegen.generate_family --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/nudity-ring-a-bell.csv --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss2.5_thr0.2_hybrid_both --probe_mode both --cas_threshold 0.6 --safety_scale 2.5 --attn_threshold 0.2 --img_attn_threshold 0.2 --how_mode hybrid --family_guidance --family_config /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/concepts_v2/sexual/clip_grouped.pt,nudity,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/ours_sd14/rab/cas0.6_ss2.5_thr0.2_hybrid_both
